"","point","review"
"52","9","내 상황이  여주랑 너무 비슷해서...남자가 너무 별로였어..뒤늦게 후회해봐야 무엇?자기 잘나간다고 여자한테 연락도 안하고.. 꿈 포기한 것도 여자탓하고... 꿈 찾으러 멀리 가는 여자에게... 우린 뭐냐는 질문에 대답회피에... 해보는 데까지 해보자는 회의적은 대답에...어떤 여자가 그 남자 옆에 남아 있을 수 있을까...서운하게 해도... 아무리 헛짓거리를 해도...사랑한다는 그 말 한마디면 된다...영화에서 나오는 노래가사처럼...우리가 찾는 것은 누군가의 사랑일뿐설렘 시선 손길..... 눈빛 다정한 목소리곁에 있을 테니 마음 놓으란 말...."
"53","2","마지막 결말 뭐임 ? 여자 쓰레기임 ? 아니 무슨 ㅋㅋ 몇년이나 지났다고 애를 만들어와 진짜 노답이다 결말 개쓰레기라서 보다 꺼버렸다 ㅋㅋ"
"54","8",""
"55","10","말이 필요있나요!!위플래시부터 라라랜드 두편으로 할일 다 했네용"
"56","10","볼까볼까하다가 한 번 봤는데 재밌게 봤어요!"
"57","10","서로가 서로를 알아보고 고개를 끄덕이는 장면이요. 아직도 생각하면 눈물이나요. 우리가 한 때는 사랑했던 사이였고 이제는 헤어졌지만 그게 슬픔이 아니라 각자의 자리에서 서로를 응원하는 장면. 다시 생각해도 명장면 입니다."
"58","10","방구석1열 보다가 급 다시보고싶어서, DVD방에 갔네요두번보니 놓친 부분들이 보여서 더 재밌음둘다 꿈은 이뤘지만 같이 하지 못해 눈물이 핑~"
"59","10",""
"60","1",""
"61","0",""
"62","8","황홀하고 따스한 환상(꿈)이 끝나면 항상 차디찬 현실이 우리를 기다리는 세상. 데미안 셔젤의 두 번째 장편 영화인<라라랜드>는 이러한 사람들의 심리를 무척 잘 이용하여 만들었다. 라라랜드는 전형적인 로맨틱 코미디의 길을 걷는다. 처음에는 사나운 두 사람의 첫 만남. 하지만 이 영화가 우리에게 더욱 더 특별하게 느껴지는 이유는 무엇일까. 아마도 데미안 셔젤의 연출력 덕분일 것이다. 영화는 그리핀스 천문대, 보넷 위 무대와 같이 평범한 장소를 특별한 무대로 만든다. 이는 아마도 우리의 차가운 현실과 황홀하기만 한 환상을 비추어 표현하였기 때문이다. 하지만 꿈도 언젠가 깨듯이 이러한 환상도 얇은 유리조각 처럼 깨져버린다. 이동진 평론가는 미아(엠마 스톤)이 인생의 기로에 놓여있을 때 경적을 울려 그녀를 깨워주는 것은 언제나 세바스찬(라이언 고슬링)이라고 해석한다. 어쩌면 우리도 인생의 기로에서 깨워줄 누군가가 필요할 것이다"
"63","10","마지막 장면 서로 미소 지어주는 장면에서.. 각자 잘 지내길 바라는 걸 느꼈슴다.. 서로에게 좋은 인연이었던 거겠지만 너무 안타까워 폭풍 눈물.. ㅠㅠb"
"64","9",""
"65","9",""
"66","1","아니 남자보곤 멀리 오래 가지 못 하게 하고선 자기는 결혼해서 애까지 만들어오네??"
"67","6",""
"68","6",""
"69","10","꿈이 없으면 모든것이 없다... 중년이 되어버린 나를 다시 돌아보게 하는 영화... 상상의 해피엔딩이 즐겁다..."
"70","9","ost가 완전 예술입니다. 엠마스톤도 너무 이쁘고, 라이언 고슬링은 와우... 진짜 분위기있고, 매력 쩔게 나옵니다. 춤도 여유롭게 추는거 같은데, 엄청 멋있음. 후반에 살짝 지루한 감은 없지 않아 있지만, 영화가 전체적으로 색채도 너무 이쁘고요, 주연 배우들 매력이 장난 아닙니다. 엔딩도 참 여운이 남습니다."
"71","8","아름다은 그녀"
"72","10",""
"73","3",""
"74","9","들을때마다 감미롭고 먹먹하게 느껴지는...City of stars...강렬했던 역동적인  오프닝씬...두 주연 배우의 멋진 호흡과 열정 가득한 열연...마지막...그 클럽(?)에서...울컥...ㅠ_ㅠ"
"75","0","."
"76","9","여운이 ㄷ"
"77","10","엑설런트!!!"
"78","6",""
"79","6",""
"80","10","남자 회상할때 눈물이 왈칵...재밌고 감동있고 연인과의 관계를 한번 더 생각해 보게하는 좋은 영화 입니다"
"81","7","여자의 꿈: 유명한 배우가 되어서 돈 많이 벌어서 호화롭게 살아가기. 남자: 자기가 좋아하는 재즈음악하면서 따뜻한 가정꾸리기. 이 꿈의 차이가 세드앤딩을 만든 거지. 세상의 기준이 아닌 자신의 기준을 추구했으니 남자가 더 행복한 삶을 살았을 듯  저런 여자와는 헤어지는 게 맞다. 또 바람났을 거다."
"82","9",""
"83","10","이런영화 오렌만이네요 배경하나하나 감성에 남는"
"84","9","머릿속에서는 해피엔딩이라고 하는데, 가슴은 울고 있었다 ㅠㅠhttp://sp017.tistory.com/38"
"85","10",""
"86","9","개봉 2년만에야 겨우 봤습니다. 개인적으로 뮤지컬 스타일의 영화를 선호하지 않는지라 인트로 장면부터 좀 난감했는데... 서서히 극중 흐름과 음악에 젖어들어가다가 마지막 세바스찬과 미아의 조우 그리고 이어지는 리플레이 장면들에 너무나 가슴 아렸습니다ㅠㅠ꼭 남녀의 사랑이 아니더라도 순간순간의 만남과 선택, 그것이 무엇을 바꿨고 어디로 가는가 하는 생각이 들면서 온갖가지 상념이 떠오르더군요ㅠㅠ  영화 보고 돌아오는 길에 Epilogue from `La La Land를 하염없이 무한반복했던... 당분간 최애곡 삼기로 했습니다^^"
"87","8",""
"88","10",""
"89","10","꿈을 이루려 노력하는 청춘 영화난 꿈을 언제부터 잊어버리고 살았을까...음악이랑 색감등 너무 멋진 영화다"
"90","10","최고에요 Ost도 샀고 계속 듣네요플로리다 프로젝트에 나와서 봤는데대작입니다."
"91","9","정말 재미있게 봤어여Ost와 영상~마지막 여운은 정말 최고"
"92","5","나만 재미없는가..내가 이상한건지."
"93","1",""
"94","6","내가 좋아하는 음악을 할 것인가 아니면 생계를 위해서 사람들이 좋아하는 음악을 할 것인가. 그것이 문제로다. 언제부터 사람의 이목을 신경쓰면서 살아왔을까. 분명 내가 꿈꾸는 삶이 있었는데, 현실에 맞게 조금씩 변해가는 나를 보게 된다. 어디에 매여서는 아무것도 도전할 수 없다. 한번 목표를 세웠으면 그 목표를 향해 모든 걸 쏟아부어야만 한다. 과거에 집착하다간 현재 하는 일들을 모두 망쳐버릴지도 모른다. 꿈을 위해서는 포기해야 할 것들이 너무 많다."
"95","9",""
"96","10",""
"97","4","영상은 매우 아름다우나 나는 졸렸다.영화 감각이 없나보다."
"98","10","볼거리도 많고 뮤지컬 연출이 노력한 흔적이 보이네..절대 극장비가 아깝지않은 영화"
"99","10","내 인생의 영화에 한 편 추가"
"100","3",""
"101","8",""
"102","10","엠마스톤 알러뷰"
"103","9","벅찬 기쁨과 설렘과 아쉬운 회한이 나를 흔든다..애들이 재밌다고 추천했지만 이제사 보게 되었는데 내 삶을 돌아보게한다.. 눈물겹도록..."
"104","8","볼리우드가 헐리우드에서 일어나다니.흘러가는 대로 살아가 보는 것. 어렵지만 해볼 만 한데"
"105","10","최고"
"106","6",""
"107","9","엠마스톤 현재 내겐 최고의 배우.  그녀를 보는 재미만으로도 최고 !"
"108","10","아름답고 눈물이 난다 ㅜㅜ"
"109","9","엔딩이 인상에남는영화"
"110","10",""
"111","8","."
"112","8","자연스럽게 물 흐르듯이 흘러간 러브스토리마지막 장면 남녀 주인공 너무 멋있었어ost 모르고 봤으면 더욱 좋았을 걸 하는 아쉬움이...극장가서 볼걸..."
"113","7","영화 분위기와 색감, 마지막장면이 살린영화"
"114","6",""
"115","10","이 영화를 평가하고 싶지 않다 넘넘소중한 인생영화노래만으로도 가슴뛰는 영화...이감독 팬이되케 만든 영화남들얘기듣고 극장에서 안봤으면 큰일날뻔 했다"
"116","6",""
"117","5","흔하디 흔한 아픔을 가진 남녀간의 로맨스...통속적 뮤지컬 영화에 지나지 않음. 좋은음악 듣자고 2시간을 낭비하는 것은 미친짓...지나친 인내심을 강요하는 영화..."
"118","6","연출이 최고"
"119","8","따뜻한 위로가 된 영화, 고맙다!"
"120","10","나만의 판타지인줄 알고 남들에게 숨기고있던 내취향이 이 영화의 성공으로 커밍아웃했다. 매일 눈을뜨면 오프닝은 꼭 보는데 어떤날은 눈물도 나더라 이보다도 아름다운 삶이 있을까? 마이 판타지 라라랜드"
"121","8","뮤지컬적인 영화를 좋아하지 않아 진짜 몇번을 망설이다 본 영화! 진한 여운과 멜로디가 계속 남는다"
"122","8","라라랜드는 나를 반쯤 비현실적인 공간에 앉혔고 현실적인 두 연인을 만나게 했습니다. 그리고 나를 뮤지컬 좌석에 앉혀 마술을 부렸습니다.흡족한 영화였고, 엔딩이 완벽함의 마침표를 찍었습니다."
"123","8",""
"124","8","나름 좋았다. 노래며 구성이며.노래도 아직 듣고있다."
"125","8",""
"126","6",""
"127","10",""
"128","10","엔딩이 다했다"
"129","9","이쪽 취향이 아니라서 초반엔 좀 힘들었지만 중반이후부터 몰입.  베리굿!!"
"130","7",""
"131","10","내 삶의 축복인 영화~ 영화관에서 영화가 끝나고 난 후의 그 여운이 아직도 생생하다..."
"132","10","인생영화 비행기안에서 기내식 앞에 받아두고 첫 고속도로 장면에 숫가락 들고 그대로 끝까지 몰입해서 봤네 50년대 흑백 영화부터 이태리 독일 스페인 멕시코부터  홍콩 일본  인도 영화까지 싸그리 섭렵해 온 영화광인데 영화보기가 시큰둥해진 나이 오십인 나에게 젊은 시절 영화에 대한 열정을 다시 일깨워 준 영화 보이후드와 함께 근래 몇년동안 본 영화중 진짜 최고였다 넘 품위있고 아름답고 클래식하고 그리고 다시 아름다운 영화 어떤 찬사도 부족할만큼 사랑스러운 영화 젊은 시절 어떤 날들과 오버랩 되면서숼브루의 우산이나 초원의 빛 같은 첫사랑에 대한 영화이기도 하고 모든 꿈을 꾸는 이들을 위한 환상같은 영화이기도 하고암튼 노래만 들어도 울컥 눈물이 난다 ㅜㅜ"
"133","4",""
"134","7","나쁜 girl"
"135","10","잘만듬 낭만.아름다운 장면."
"136","9","현실에서는 이뤄질수 없던 꿈과 사랑 ㅠㅠ"
"137","9","잘만든 영화"
"138","10","최고의영화"
"139","10","참고 버티다 보면 잼있음 ㅎㅎㅎ"
"140","10","처음부터 끝까지 눈을 땔 수 없는 아름답고 황홀한 영화였다 ㅠㅠ 여러번 봐도 감동적인 영화"
"141","10","그냥 좋은 영화라고 생각했다. 이 영화에 대한 다른 사람들의 평을 읽으면서 정말 좋은 영화고 다시 한 번 더 봐야겠다는 생각이 들었다. 결혼하기전 결혼하지 않은 연인과 한 번 쯤 가졌을만한 아련한 사랑이야기. 사랑의 끝과 성공이 꼭 결혼이어야 할 필요는 없지 않은가?"
"142","1","이기심의 끝을 달리는 최악의 영화"
"143","0",""
"144","10",""
"145","9","이것은 사랑 로멘스 영화가 아니다 . 본인의 꿈을 이루기 위한 영화이다 . 이영화를   사랑의 관점으로 본다면 새드엔딩 이라고 볼수있지만 드림을 위한 영화라면 해피엔딩이다.  이영화는 한번도 사랑에대해 이야기한 대사자체가 없다.  보는 사람만 꽁냥꽁냥 상상했을뿐 사랑이 어쩌고 저쩌고 말한 대사가 아니라 나의 꿈이 무엇이고 지금 어떻고 이런이야기만 했다.  결국이영화는 꿈을 이루는 영화이다.   다시한번 보길바란다.  크리스마스때 또 볼것이다."
"146","10","엔딩 연출에 박수를..."
"147","9",""
"148","9",""
"149","3","솔직히 난 별로 평이 좋아 블루레이 구매해서 보다가 잠들어버림 두번째시도 또 잠들어버림"
"150","8","이런 영화가 있지. 마니아가 만든 꿈의 프로젝트. 타란티노가 킬빌을 만들었듯 이감독은 라라랜드를 만들었다. 둘다 소원풀이 한거지. 근데 이것들은 그걸 또 잘만들어요. 부러워지게"
"151","5","하도 평이 좋길래 함봤는데,,영화가 참 심심하구나"
"152","9","마지막장면 너무 슬프다"
"153","8","여주인공만 바꿨으면 좋으련만"
"154","9",""
"155","7",""
"156","10",""
"157","9","마지막이 현실이라 슬프지만 또 한편으론 서로의 행복한시절을 의미하니 아련 넘 감동"
"158","10","(맘마미아!2 그 전의 색다른 뮤지컬 음악 쇼 무비)"
"159","8","재미있고 유쾌한 영화~그러나... 영원히 사랑할거라는 얘기는 왜 했지? 결혼만이 해피엔딩인건 아니지만 그래도... 쩝... 계속 유쾌하게 끝났으면 좋았을듯..."
"160","5","솔직히 전 재미없서요..."
"161","10","마스터피스"
"162","8",""
"163","10",""
"164","10",""
"165","9",""
"166","10",""
"167","10",""
"168","10",""
"169","8","너무 아픈 사랑은 사랑이 아니었음을,,,,,,,"
"170","10",""
"171","10",""
"172","10",""
"173","3","기대가 크면 실망도 큰 법이라던데.."
"174","9","레이버 인포매틱스 공부하기 싫다"
"175","10","진짜최고의영화에요"
"176","7",""
"177","6","정말 로맨스 하네요~~"
"178","5",""
"179","10","계속 신경이 쓰이는 영화가 있다. 근데 볼 용기가 안난다. 아마도 결론을 이미 알고 있는거 같기에...안봤어야 하는 영화를 결국 봤다. 내가 ""알고""있는 결말이었다. 보지 말았어야 했다."
"180","9",""
"181","9","헛헛하면서도 약간 슬픈듯하면서도 이게 무슨감정인지 잘 모르겠다"
"182","5",""
"183","10","멋진영화! 근데,, 내용만 가지고 보면 나쁜 여주인공"
"184","10","꿈의 땅 LA 에서 펼쳐지는 마법같은 사랑과  매혹한 현실"
"185","1",""
"186","7","음악과 메시지가 잘 어우러져 보고나서도 잔잔한 여운이 있다."
"187","10","정말 영화 내내 해피해피한 분위기에 취해있다가 마지막 짧은 그 순간에 그 짧은 피아노 음악에 모든 여운을 실어 털어내는장면........정말 강렬한 엔딩으로 기억될듯......."
"188","10","사실 전반적인 스토리는 평범해서 지루할수 있겠으나 음악이 좋고 영상도 좋고 연기가 좋았다. 평범하고 지극히 현실적인 일상이 지속되다  마지막 앤딩 연출은 역대급반전이어서 가슴이 더 아렸다 . 마지막이 있기에 앞의 평범하디 평범했던 모든 것들이 소중하고 아름다운 이야기가 된 것 같다.  앤딩에 공감하는 사람들에게는 더더욱.."
"189","6",""
"190","9","현실을 보여줬다.. 하지만, 처음부터 끝까지 꿈을 꾸는 기분이었다. 하늘을 날기도, 가슴이 무너지기도 했다. 보는내내 웃음이 나왔지만, 계절이 바뀔때 마다의 웃음의 의미가 달랐다."
"191","10","마지막10분은엉엉울면서봄"
"192","8","지금도 여운이 남는다.."
"193","10",""
"194","1",""
"195","9","세바스찬과 미아의 꿈을 향한 열정!가슴 아린 그 때."
"196","7",""
"197","9","평범한 뮤지컬로 시작해 매혹적인 멜로 드라마로 끝맺다."
"198","8",""
"199","2",""
"200","10","마지막이 완전 해피 엔딩은 아닌데, 슬픈 해피 엔딩입니다. 아름다운 꿈과 힘든 현실을 둘 다 잘 보여주고 있어서 완전 해피 엔딩이 아니여도 좋은 영화."
